galaxy,n,wrms_M0,aicc_M0,bic_M0,wrms_M1,aicc_M1,bic_M1,wrms_M2,aicc_M2,bic_M2,wrms_M3,aicc_M3,bic_M3,winner,dBIC_second_minus_best,dBIC_M2_minus_M0,dBIC_M3_minus_M0,cv_wrms_M0,cv_wrms_M1,cv_wrms_M2,cv_wrms_M3
NGC3521_rotmod,41,15.733136887802848,106.39595022299658,109.50730488272099,52.78434923851491,1153.3184808413946,1156.429835501119,54.63598066185252,1247.1677558963474,1250.2791105560718,68.35122139917625,1926.6519298544176,1926.6519298544176,M0,1046.922530618398,1140.7718056733509,1817.1446249716967,16.126188231145203,52.64392680805533,54.563877635395315,68.20197120722494
NGC3726_rotmod,12,12.244108835181592,63.97781198538372,63.614291951626385,23.951759509743127,229.74612692655865,229.3826068928013,26.78386844849113,294.07280620262407,293.70928616886675,70.83747069018642,1962.903091881907,1962.903091881907,M0,165.76831494117494,230.09499421724036,1899.2887999302804,13.743213299745785,24.816174366491488,26.989506368783452,70.4915874733152
NGC3741_rotmod,21,1.757446911067279,11.82448738082135,13.246865589601532,1.7250539686516664,11.56305581715271,12.98543402593289,2.0640232924066075,21.947662028263696,23.370040237043874,4.022515517215941,37.4983227657865,37.4983227657865,M1,0.2614315636686424,10.123174647442342,24.251457176184964,1.6682408519163148,1.6305092770965106,1.9284897469291837,3.8371853436669405
NGC3769_rotmod,12,8.832707444922349,29.110322157180445,28.746802123423112,15.084783208627876,74.68346783079886,74.31994779704154,15.402330642999837,89.78887809032418,89.42535805656685,39.923600135847636,485.76761255032915,485.76761255032915,M0,45.57314567361843,60.67855593314374,457.02081042690605,10.084610939349014,12.842644735698721,13.676558030107035,39.23096584194887
NGC3877_rotmod,13,13.750129434664256,75.90688374646666,75.83678246138973,27.27819555938442,283.4783383665403,283.40823708146337,29.10724362710063,333.8707396285205,333.80063834344355,65.91550590096122,1624.8875221140493,1624.8875221140493,M0,207.57145462007364,257.96385588205385,1549.0507396526596,14.564945762664525,26.81754452408149,28.90665194148148,65.49686856817773
NGC3893_rotmod,10,12.095384256677514,32.602591298311204,31.493475770013582,25.791688217004335,127.97407295009964,126.86495742180202,28.723362466212663,165.47873533003755,164.36961980173993,48.7509943082715,436.80846995435377,436.80846995435377,M0,95.37148165178843,132.87614403172634,405.3149941843402,12.510447806248196,21.664948204515248,25.47806806107442,48.21157710262837
NGC3917_rotmod,17,12.555399228660988,173.12629250954137,173.93557634051095,6.112219150398487,44.73586937361993,45.545153204589504,6.599998008021702,57.88166829759083,58.690952128560404,26.900092157624982,772.4155039645069,772.4155039645069,M1,13.1457989239709,-115.24462421195054,598.479927623996,12.611485601095126,6.334177385236912,5.556467828778663,26.814298673412964
NGC3949_rotmod,7,4.645880378798392,9.968047062544263,6.85986736065489,37.81608141374464,203.64720797447347,200.5390282725841,39.79786979361792,230.25921385724226,227.15103415535287,60.75194390053602,507.5222580681367,507.5222580681367,M0,193.6791609119292,220.29116679469797,500.6623907074818,6.900975374946631,35.64891624832988,37.94427753006862,60.927485147720816
NGC3953_rotmod,8,6.859751722985936,15.645296830925034,13.404179914284704,18.753167340089554,75.49606614176875,73.25494922512841,21.2342916305274,97.1690831416255,94.92796622498517,64.78623090938022,824.6496775989857,824.6496775989857,M0,59.85076931084371,81.52378631070047,811.245497684701,7.219894202332665,18.766500071776893,21.450048964355723,65.13688021650057
NGC3972_rotmod,10,6.134710866963594,21.762350684699147,20.65323515640152,5.4881524563134905,18.557886865983928,17.448771337686303,6.9315671064750335,30.016593751608227,28.907478223310605,21.644196411188435,199.76408418854075,199.76408418854075,M1,3.204463818715219,8.254243066909083,179.11084903213924,7.485758521058358,6.3045257924709635,7.200488027462738,21.10471829925398
